other_id,position,confidence,time
1,"(0, 1, 0)",20.0,3.208010167033622
1,"(0, 1, 0)",19.20801016703362,4
1,"(0, 1, 0)",18.20801016703362,5
1,"(0, 1, 0)",17.20801016703362,6
1,"(0, 1, 0)",16.20801016703362,7
1,"(0, 1, 0)",15.20801016703362,8
1,"(0, 1, 0)",14.20801016703362,9
1,"(0, 1, 0)",13.20801016703362,10
1,"(0, 1, 0)",12.20801016703362,11
1,"(0, 1, 0)",11.20801016703362,12
1,"(0, 1, 0)",10.20801016703362,13
1,"(0, 1, 0)",9.20801016703362,14
1,"(0, 1, 0)",8.20801016703362,15
1,"(0, 1, 0)",7.2080101670336205,16
1,"(0, 1, 0)",6.2080101670336205,17
1,"(0, 1, 0)",5.2080101670336205,18
1,"(0, 1, 0)",5.0,18.20801016703362
1,"(0, 1, 0)",20.0,18.20801016703362
1,"(0, 1, 0)",19.20801016703362,19
1,"(0, 1, 0)",18.20801016703362,20
1,"(0, 1, 0)",17.20801016703362,21
1,"(0, 1, 0)",16.20801016703362,22
1,"(0, 1, 0)",15.20801016703362,23
1,"(0, 1, 0)",14.20801016703362,24
1,"(0, 1, 0)",13.20801016703362,25
1,"(0, 1, 0)",12.20801016703362,26
1,"(0, 1, 0)",11.20801016703362,27
1,"(0, 1, 0)",10.20801016703362,28
1,"(0, 1, 0)",9.20801016703362,29
1,"(0, 1, 0)",8.20801016703362,30
1,"(0, 1, 0)",7.2080101670336205,31
1,"(0, 1, 0)",6.2080101670336205,32
1,"(0, 1, 0)",5.2080101670336205,33
1,"(0, 1, 0)",5.0,33.20801016703362
1,"(0, 1, 0)",20.0,33.20801016703362
1,"(0, 1, 0)",19.20801016703362,34
1,"(0, 1, 0)",18.20801016703362,35
1,"(0, 1, 0)",17.20801016703362,36
1,"(0, 1, 0)",16.20801016703362,37
1,"(0, 1, 0)",15.20801016703362,38
1,"(0, 1, 0)",14.20801016703362,39
1,"(0, 1, 0)",13.20801016703362,40
1,"(0, 1, 0)",12.20801016703362,41
1,"(0, 1, 0)",11.20801016703362,42
1,"(0, 1, 0)",10.20801016703362,43
1,"(0, 1, 0)",9.20801016703362,44
1,"(0, 1, 0)",8.20801016703362,45
1,"(0, 1, 0)",7.2080101670336205,46
1,"(0, 1, 0)",6.2080101670336205,47
1,"(0, 1, 0)",5.2080101670336205,48
1,"(0, 1, 0)",4.999999999999993,48.20801016703363
1,"(0, 1, 0)",20.0,48.20801016703363
1,"(0, 1, 0)",19.208010167033628,49
1,"(0, 1, 0)",18.208010167033628,50
1,"(0, 1, 0)",17.208010167033628,51
1,"(0, 1, 0)",16.208010167033628,52
1,"(0, 1, 0)",15.208010167033628,53
1,"(0, 1, 0)",14.208010167033628,54
1,"(0, 1, 0)",13.208010167033628,55
1,"(0, 1, 0)",12.208010167033628,56
1,"(0, 1, 0)",11.208010167033628,57
1,"(0, 1, 0)",10.208010167033628,58
1,"(0, 1, 0)",9.208010167033628,59
1,"(0, 1, 0)",8.208010167033628,60
1,"(0, 1, 0)",7.208010167033628,61
1,"(0, 1, 0)",6.208010167033628,62
1,"(0, 1, 0)",5.208010167033628,63
1,"(0, 1, 0)",5.0,63.20801016703363
1,"(0, 1, 0)",20.0,63.20801016703363
1,"(0, 1, 0)",19.208010167033628,64
1,"(0, 1, 0)",18.208010167033628,65
1,"(0, 1, 0)",17.208010167033628,66
1,"(0, 1, 0)",16.208010167033628,67
1,"(0, 1, 0)",15.208010167033628,68
1,"(0, 1, 0)",14.208010167033628,69
1,"(0, 1, 0)",13.208010167033628,70
1,"(0, 1, 0)",12.208010167033628,71
1,"(0, 1, 0)",11.208010167033628,72
